,network,campaign,country_code,install,cost,rev_14,event_date,rev_30
0,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Argentina,2,0.0,0.017099999999999997,2,0.017099999999999997
1,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Australia,1,0.0,0.0191,1,0.0191
2,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Brazil,3477,139.2506,108.54129999999999,28,114.9841
3,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Canada,1,0.0,0.1383,1,0.1383
4,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),France,1,0.0,0.0005,1,0.0005
5,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Germany,1,0.0,0.5475,1,0.5502
6,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Guatemala,1,0.0,0.06,1,0.06
7,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),India,2,0.0,0.1794,2,0.201
8,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Indonesia,3459,133.78669999999997,86.82109999999999,31,91.8228
9,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Jordan,1,0.0,0.0,1,0.0
10,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Malaysia,1418,45.6326,83.8054,26,90.73240000000001
11,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Mexico,2589,104.03969999999998,81.82219999999997,28,86.69779999999999
12,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Myanmar,1,0.0,0.0,1,0.0
13,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Philippines,11281,443.8826,357.5016999999999,39,374.69410000000005
14,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Portugal,33,1.0066,0.8167000000000001,13,1.0872000000000002
15,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Singapore,6,0.0,0.1678,4,0.19
16,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Spain,1,0.0,0.0162,1,0.0162
17,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),Ukraine,2,0.0,0.0068000000000000005,2,0.0068000000000000005
18,adwords,4w_MTD_V1_Adjust_PHI_230622 (17556219990),United States,14,0.0,2.1221,9,2.1221
19,adwords,4w_MTD_V1_DK UK SWI_ ADjust_240522 (17321325051),Algeria,1,0.0,0.0271,1,0.0276
20,adwords,4w_MTD_V1_DK UK SWI_ ADjust_240522 (17321325051),Australia,1,0.0,0.2622,1,0.2622
21,adwords,4w_MTD_V1_DK UK SWI_ ADjust_240522 (17321325051),Austria,1,0.0,0.1855,1,0.1855
22,adwords,4w_MTD_V1_DK UK SWI_ ADjust_240522 (17321325051),Bangladesh,9,0.0,0.0298,9,0.036000000000000004
23,adwords,4w_MTD_V1_DK UK SWI_ ADjust_240522 (17321325051),Brazil,1,0.0,0.0017,1,0.0017
24,adwords,4w_MTD_V1_DK UK SWI_ ADjust_240522 (17321325051),Canada,1,0.0,0.1987,1,0.1987
25,adwords,4w_MTD_V1_DK UK SWI_ ADjust_240522 (17321325051),China,2,0.0,0.0018,2,0.0018
26,adwords,4w_MTD_V1_DK UK SWI_ ADjust_240522 (17321325051),Croatia,1,0.0,0.0,1,0.0
27,adwords,4w_MTD_V1_DK UK SWI_ ADjust_240522 (17321325051),Cyprus,1,0.0,0.3575,1,0.3575
28,adwords,4w_MTD_V1_DK UK SWI_ ADjust_240522 (17321325051),Denmark,359,79.7982,55.308999999999976,69,59.01359999999998
29,adwords,4w_MTD_V1_DK UK SWI_ ADjust_240522 (17321325051),France,8,0.0,0.6304,7,0.6707
30,adwords,4w_MTD_V1_DK UK SWI_ ADjust_240522 (17321325051),Germany,5,0.0,0.5573,5,0.5573
31,adwords,4w_MTD_V1_DK UK SWI_ ADjust_240522 (17321325051),India,8,0.0,0.3657,8,0.40020000000000006
